Crime Heads,2023 Registered,2023 Detected,%Age Detection - 2023,2022 Registered,2022 Detected,%Age Detected 2022
Murder,123,118,96,133,129,97
Att.to.C.Murder,292,290,99,244,239,98
Dacoity,25,24,96,20,20,100
Prep.for Dacoity,23,23,100,14,14,100
Robbery,642,628,98,846,727,86
Robbery-Chain Snatching,116,111,96,190,158,83
Att.to.C.Robbery,20,17,85,26,23,88
Extortion,258,208,81,308,205,67
H.B.T.Day,228,151,66,245,133,54
H.B.T.Night.,"1,073",757,71,"1,375",837,61
Thefts.,"6,675","2,835",42,"14,805","3,244",22
Pocket Picking,14,11,79,13,5,38
M.V.Thefts.,"2,671","1,564",59,"3,058","1,588",52
Hurt,"4,441","4,306",97,"4,633","4,230",91
Riots.,292,285,98,289,260,90
Rape,973,933,96,984,912,93
Molestation,"2,163","2,054",95,"2,349","1,957",83
Other I.P.C.,"25,840","20,676",80,"40,835","33,185",81
Total IPC,"45,869","34,991",76,"70,367","47,866",68
